ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
30,0,0,30:0:0,-4.41813,[H]C1([H])C2([H])C([H])([H])C3([N+]([H])([H])[H])C([H])([H])C4([H])C3([H])C([H])([H])C([H])(C2([H])[H])[N+]([H])([H])C([H])([H])C14[H],True
30,0,1,30:0:1,-4.38703,[H]C1([H])C2([H])C([H])([H])C3([N+]([H])([H])[H])C([H])([H])C4([H])C3([H])C([H])([H])C([H])(C2([H])[H])[N+]([H])([H])C([H])([H])C14[H],False
30,0,2,30:0:2,-3.91117,[H]C1([H])C2([H])C([H])([H])C3([N+]([H])([H])[H])C([H])([H])C4([H])C3([H])C([H])([H])C([H])(C2([H])[H])[N+]([H])([H])C([H])([H])C14[H],False
31,0,0,31:0:0,-4.82672,[H]C1=C([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C34C([H])([H])C([H])([H])C5([H])C6([H])C([H])([H])C3([H])C1([H])C42C56[H],True
31,0,1,31:0:1,-4.41527,[H]C1=C([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C34C([H])([H])C([H])([H])C5([H])C6([H])C([H])([H])C3([H])C1([H])C42C56[H],False
32,0,0,32:0:0,-3.32357,[H]C([H])([H])C1(C([H])([H])[H])OC2([H])C([H])([H])C([H])([H])C([H])(F)C34OC(C([H])([H])[H])(O1)C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C24[H],True
32,0,1,32:0:1,-3.17822,[H]C([H])([H])C1(C([H])([H])[H])OC2([H])C([H])([H])C([H])([H])C([H])(F)C34OC(C([H])([H])[H])(O1)C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C24[H],False
33,0,0,33:0:0,-4.0613,[H]c1c(F)c([H])c2sc(-c3nn([H])c4c([H])c(F)c([H])c([H])c34)nc2c1[H],True
33,0,1,33:0:1,-3.93113,[H]c1c(F)c([H])c2sc(-c3nn([H])c4c([H])c(F)c([H])c([H])c34)nc2c1[H],False
33,0,2,33:0:2,-3.75209,[H]c1c(F)c([H])c2sc(-c3nn([H])c4c([H])c(F)c([H])c([H])c34)nc2c1[H],False
33,1,0,33:1:0,-3.67064,[H]c1c(F)c([H])c2sc(-c3c4c([H])c([H])c(F)c([H])c4nn3[H])nc2c1[H],True
33,1,1,33:1:1,-3.66537,[H]c1c(F)c([H])c2sc(-c3c4c([H])c([H])c(F)c([H])c4nn3[H])nc2c1[H],False
33,1,2,33:1:2,-3.55687,[H]c1c(F)c([H])c2sc(-c3c4c([H])c([H])c(F)c([H])c4nn3[H])nc2c1[H],False
